1621483596.067762, nan, -1, 30000, 0, 0
1621483602.135583, nan, -1, 29999, 0, 1
1621483608.18819, nan, -1, 29998, 0, 2
1621483614.254617, nan, -1, 29997, 0, 3
1621483620.58286, nan, -1, 29996, 0, 4
1621483626.92418, nan, -1, 29995, 0, 5
1621483633.287552, nan, -1, 29994, 0, 6
1621483639.7152262, nan, -1, 29993, 0, 7
1621483646.1586628, nan, -1, 29992, 0, 8
1621483652.643095, nan, -1, 29991, 0, 9
1621483659.25755, nan, -1, 29990, 0, 10
1621483665.900634, nan, -1, 29989, 0, 11
1621483672.5897322, nan, -1, 29988, 0, 12
1621483679.347553, nan, -1, 29987, 0, 13
1621483686.1254349, nan, -1, 29986, 0, 14
1621483692.9564302, nan, -1, 29985, 0, 15
1621483699.83332, nan, -1, 29984, 0, 16
1621483706.7460601, nan, -1, 29983, 0, 17
1621483713.672833, nan, -1, 29982, 0, 18
1621483720.666307, nan, -1, 29981, 0, 19
1621483727.7012842, nan, -1, 29980, 0, 20
1621483734.721018, nan, -1, 29979, 0, 21
1621483741.810852, nan, -1, 29978, 0, 22
1621483749.0411022, nan, -1, 29977, 0, 23
1621483756.272418, nan, -1, 29976, 0, 24
